,27511,27513,27518,27529,27539,27601,27603,27604,27605,27606,27607,27608,27610
27511,11,0,11,4,0,3,12,6,8,24,4,5,12
27513,10,0,11,4,0,5,6,10,10,19,7,9,9
27518,10,0,4,8,0,12,13,12,10,16,7,3,5
27529,6,0,7,8,0,9,11,8,9,17,8,11,6
27539,9,0,4,8,0,10,9,5,10,22,8,5,10
27601,5,0,8,8,0,3,5,6,11,25,11,6,12
27603,8,0,3,5,0,7,15,7,3,23,14,5,10
27604,10,0,4,11,0,13,9,10,3,18,5,6,11
27605,5,0,10,6,0,8,4,9,10,23,9,7,9
27606,7,0,8,3,0,7,13,5,3,32,5,12,5
27607,4,0,3,8,0,10,6,13,8,24,10,4,10
27608,12,0,8,8,0,9,5,5,10,20,11,8,4
27610,8,0,6,3,0,7,6,15,10,25,11,5,4
